number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_dropout,params_gamma,params_hidden_dim,params_la_alpha,params_la_k,params_lr,params_sched_factor,params_sched_patience,params_weight_decay,state
0,0.6108517842422683,2026-04-11 15:46:19.858008,2026-04-11 15:47:18.177456,0 days 00:00:58.319448,0.825053426963055,1024,0.3659563583100287,0.8245529259533815,256,0.7992860489452449,5,0.00037932447819306154,0.5399161467677699,3,0.00015087359586555627,COMPLETE
1,0.5998190034519001,2026-04-11 15:47:18.177585,2026-04-11 15:47:54.859161,0 days 00:00:36.681576,0.9345369077920285,4096,0.34288901986293174,4.324318663048074,512,0.7990317395370027,10,0.002653171079050338,0.6486510820182884,3,0.0006056666920352886,COMPLETE
2,0.6945790011983186,2026-04-11 15:47:54.859275,2026-04-11 15:49:22.263908,0 days 00:01:27.404633,0.6743112021761412,512,0.36233909333123854,3.209773011873214,256,0.3492299306495008,5,0.004211869689747902,0.5836510750186803,5,7.242106296060224e-05,COMPLETE
3,0.4983036997126166,2026-04-11 15:49:22.264010,2026-04-11 15:49:52.637133,0 days 00:00:30.373123,0.7807092949308083,4096,0.15120628395907346,3.9964278564890803,128,0.5236270233396402,10,0.0008691600924749443,0.6100013945409053,5,0.0014616159441634049,COMPLETE
4,0.6912867281273981,2026-04-11 15:49:52.637237,2026-04-11 15:51:20.092170,0 days 00:01:27.454933,0.871486242519578,512,0.4651761293463498,2.1517230512870906,512,0.5844471232864674,5,0.0015007257943725118,0.3275632370037845,5,0.0002246086811696113,COMPLETE
5,0.13565784402659303,2026-04-11 15:51:20.092320,2026-04-11 15:51:31.485692,0 days 00:00:11.393372,0.8028583947585561,4096,0.4836389092512947,1.7055001041270987,128,0.44671642895472913,5,0.0003776579559117428,0.49736380588750556,5,4.013457352219407e-06,PRUNED
6,0.33460873013990955,2026-04-11 15:51:31.485789,2026-04-11 15:52:03.689702,0 days 00:00:32.203913,0.6180844731564973,512,0.37448064930442054,3.430737253735714,256,0.32348844723757586,10,0.00019877355448648468,0.5678233619552319,3,8.76578909011749e-05,PRUNED
7,,2026-04-11 15:52:03.689793,2026-04-11 15:52:34.885193,0 days 00:00:31.195400,0.7954417619339141,512,0.15312013269128277,0.734564314061978,512,0.37805473892066194,10,0.0018594995643576827,0.4798701522616915,5,1.8862751297002256e-06,FAIL
8,0.29684636788933627,2026-04-11 15:52:34.888216,2026-04-11 15:53:07.368145,0 days 00:00:32.479929,0.7414018445665271,512,0.3455627000442998,1.9851903145031962,128,0.3580722018221846,10,0.00010335721428253262,0.5192257820299111,3,0.00012124418142336546,PRUNED
9,0.3409223157113695,2026-04-11 15:53:07.368232,2026-04-11 15:53:20.883530,0 days 00:00:13.515298,0.9239314920869389,4096,0.2914872198193164,4.508199724654747,512,0.5414923670981602,5,0.0001239937021494216,0.47530163091101263,5,0.0005220316279489936,PRUNED
10,0.7166657652342383,2026-04-11 15:53:20.883622,2026-04-11 15:54:49.726141,0 days 00:01:28.842519,0.9049703025965989,512,0.10108987092595384,3.8456387320693546,512,0.3771902135646486,5,0.0017196111371260436,0.4062799445020267,5,0.0036832503667678933,COMPLETE
11,0.7272763087306481,2026-04-11 15:54:49.726248,2026-04-11 15:55:54.398564,0 days 00:01:04.672316,0.8659103015993278,1024,0.10956775339298189,4.898678070266565,512,0.6816995061811214,5,0.0014684355460410279,0.39311813698937836,5,0.008906419318822788,COMPLETE
12,0.7252286056599694,2026-04-11 15:55:54.398666,2026-04-11 15:57:00.104336,0 days 00:01:05.705670,0.8715545495652411,1024,0.10159438374232238,4.826795287639132,512,0.6819299996067237,5,0.0013905052230393567,0.38755821861094053,5,0.009557912097063198,COMPLETE
