round,train_logloss,val_pr_auc,time_s
1,0.6739,0.3538,1.2
2,0.6567,0.389,0.1
3,0.6409,0.3916,0.1
4,0.6264,0.3896,0.1
5,0.613,0.391,0.1
6,0.6003,0.4081,0.1
7,0.5887,0.4233,0.1
8,0.5779,0.4358,0.1
9,0.5674,0.4348,0.1
10,0.5574,0.4427,0.1
11,0.5484,0.4444,0.1
12,0.5402,0.4452,0.1
13,0.532,0.4477,0.1
14,0.5246,0.4498,0.1
15,0.5174,0.4506,0.1
16,0.5104,0.4551,0.1
17,0.5038,0.4569,0.1
18,0.4975,0.4586,0.1
19,0.4913,0.4598,0.1
20,0.4858,0.4617,0.1
21,0.4805,0.465,0.1
22,0.4748,0.4697,0.1
23,0.4698,0.4722,0.1
24,0.4647,0.4811,0.1
25,0.4604,0.4841,0.1
26,0.4564,0.4853,0.1
27,0.4519,0.4894,0.1
28,0.4482,0.4902,0.1
29,0.4445,0.4921,0.1
30,0.4411,0.4941,0.1
31,0.4379,0.4956,0.1
32,0.4348,0.4971,0.1
33,0.4312,0.4998,0.1
34,0.4282,0.5013,0.1
35,0.4256,0.503,0.1
36,0.4227,0.5073,0.1
37,0.4194,0.5099,0.1
38,0.417,0.5114,0.1
39,0.4148,0.5118,0.1
40,0.4124,0.5134,0.1
41,0.4105,0.5158,0.1
42,0.4085,0.5175,0.1
43,0.4063,0.5187,0.1
44,0.4042,0.5215,0.1
45,0.4022,0.5224,0.1
46,0.4004,0.5226,0.1
47,0.3981,0.5248,0.1
48,0.3965,0.527,0.1
49,0.3949,0.529,0.1
50,0.3932,0.53,0.1
51,0.3913,0.5322,0.1
52,0.3898,0.5335,0.1
53,0.3883,0.5347,0.1
54,0.3871,0.5358,0.1
55,0.3857,0.5359,0.1
56,0.3844,0.5373,0.1
57,0.3831,0.5384,0.1
58,0.3817,0.5398,0.1
59,0.3803,0.5406,0.1
60,0.3792,0.5415,0.1
61,0.3777,0.5436,0.1
62,0.3766,0.5437,0.1
63,0.3754,0.5446,0.1
64,0.3742,0.5455,0.1
65,0.3734,0.547,0.1
66,0.3724,0.5475,0.1
67,0.3713,0.5494,0.1
68,0.3703,0.5497,0.1
69,0.3694,0.5507,0.1
70,0.3682,0.5516,0.1
71,0.367,0.553,0.1
72,0.366,0.5539,0.1
73,0.365,0.5545,0.1
74,0.364,0.556,0.1
75,0.3626,0.5576,0.1
76,0.3618,0.5587,0.1
77,0.3605,0.5595,0.1
78,0.3598,0.5606,0.1
79,0.3586,0.5621,0.1
80,0.3576,0.5629,0.1
81,0.3563,0.5644,0.1
82,0.3551,0.5659,0.1
83,0.3539,0.5673,0.1
84,0.3527,0.5684,0.1
85,0.3517,0.5699,0.1
86,0.3508,0.5711,0.1
87,0.3499,0.5723,0.1
88,0.3494,0.5726,0.1
89,0.3484,0.5739,0.1
90,0.3474,0.575,0.1
91,0.3467,0.5758,0.1
92,0.3461,0.5765,0.1
93,0.3452,0.5778,0.1
94,0.3439,0.5791,0.1
95,0.3434,0.5797,0.1
96,0.3425,0.5806,0.1
97,0.342,0.5814,0.1
98,0.3414,0.5821,0.1
99,0.3405,0.5831,0.1
100,0.3396,0.5836,0.1
101,0.3387,0.585,0.1
102,0.3377,0.5864,0.1
103,0.3372,0.5868,0.1
104,0.3367,0.5872,0.1
105,0.3363,0.5875,0.1
106,0.3359,0.588,0.1
107,0.3349,0.5885,0.1
108,0.3341,0.589,0.1
109,0.3334,0.5896,0.1
110,0.3319,0.5913,0.1
111,0.3313,0.592,0.1
112,0.3305,0.593,0.1
113,0.3299,0.5936,0.1
114,0.3296,0.5941,0.1
115,0.3294,0.5944,0.1
116,0.3283,0.5959,0.1
117,0.328,0.5963,0.1
118,0.327,0.5973,0.1
119,0.3267,0.598,0.1
120,0.3263,0.5984,0.1
121,0.3256,0.599,0.1
122,0.325,0.5994,0.1
123,0.3245,0.6003,0.1
124,0.324,0.601,0.1
125,0.3233,0.6013,0.1
126,0.3229,0.6017,0.1
127,0.3225,0.6023,0.1
128,0.3219,0.6032,0.1
129,0.3215,0.6037,0.1
130,0.3207,0.6049,0.1
131,0.3201,0.605,0.1
132,0.3194,0.6054,0.1
133,0.3185,0.6063,0.1
134,0.3183,0.6067,0.1
135,0.318,0.6068,0.1
136,0.3175,0.6075,0.1
137,0.3172,0.6079,0.1
138,0.3169,0.6081,0.1
139,0.3163,0.6089,0.1
140,0.3156,0.6091,0.1
141,0.3148,0.6101,0.1
142,0.3141,0.6108,0.1
143,0.3135,0.611,0.1
144,0.3129,0.6119,0.1
145,0.3124,0.6127,0.1
146,0.312,0.6131,0.1
147,0.3118,0.6132,0.1
148,0.3113,0.6136,0.1
149,0.3107,0.614,0.1
150,0.3104,0.6141,0.1
151,0.3099,0.6146,0.1
152,0.3092,0.6155,0.1
153,0.3087,0.616,0.1
154,0.3078,0.6168,0.1
155,0.3073,0.6176,0.1
156,0.3067,0.6179,0.1
157,0.306,0.619,0.1
158,0.3056,0.6194,0.1
159,0.3055,0.6198,0.1
160,0.305,0.62,0.1
161,0.3043,0.6208,0.1
162,0.3039,0.6212,0.1
163,0.3035,0.6216,0.1
164,0.3032,0.6222,0.1
165,0.303,0.6224,0.1
166,0.3023,0.6238,0.1
167,0.302,0.6241,0.1
168,0.3013,0.6252,0.1
169,0.301,0.6256,0.1
170,0.3004,0.6262,0.1
171,0.3,0.6264,0.1
172,0.2994,0.6274,0.1
173,0.299,0.6277,0.1
174,0.2986,0.628,0.1
175,0.2981,0.6283,0.1
176,0.2978,0.6287,0.1
177,0.2972,0.6291,0.1
178,0.2969,0.6294,0.1
179,0.2967,0.6296,0.1
180,0.2962,0.6299,0.1
181,0.2958,0.6306,0.1
182,0.2952,0.6314,0.1
183,0.2949,0.6315,0.1
184,0.2944,0.6319,0.1
185,0.2937,0.6325,0.1
186,0.2935,0.6332,0.1
187,0.2929,0.6337,0.1
188,0.2926,0.6341,0.1
189,0.2922,0.6347,0.1
190,0.2919,0.6351,0.1
191,0.2913,0.6357,0.1
192,0.2909,0.6365,0.1
193,0.2904,0.6367,0.1
194,0.2898,0.6371,0.1
195,0.2896,0.6374,0.1
196,0.2891,0.6379,0.1
197,0.2887,0.6383,0.1
