round,train_logloss,val_pr_auc,time_s
1,0.6729,0.3227,0.7
2,0.655,0.3662,0.1
3,0.6384,0.3721,0.0
4,0.6236,0.3725,0.1
5,0.6095,0.3964,0.1
6,0.5962,0.3997,0.1
7,0.584,0.4052,0.1
8,0.5725,0.406,0.1
9,0.5615,0.412,0.1
10,0.5517,0.4119,0.1
11,0.5426,0.4202,0.1
12,0.5342,0.4288,0.1
13,0.5269,0.4469,0.1
14,0.5192,0.447,0.1
15,0.5115,0.4559,0.1
16,0.5045,0.4599,0.1
17,0.4981,0.4633,0.1
18,0.4917,0.4713,0.1
19,0.4853,0.4745,0.1
20,0.4797,0.4773,0.1
21,0.4744,0.4813,0.1
22,0.4696,0.4813,0.1
23,0.4649,0.4831,0.1
24,0.4604,0.4847,0.1
25,0.4563,0.4853,0.1
26,0.4524,0.4858,0.1
27,0.4487,0.4876,0.1
28,0.4452,0.4874,0.1
29,0.4417,0.4886,0.1
30,0.4376,0.4936,0.1
31,0.4341,0.4951,0.1
32,0.4311,0.4975,0.1
33,0.4283,0.4974,0.1
34,0.4251,0.5,0.1
35,0.4223,0.5022,0.1
36,0.4199,0.5031,0.1
37,0.4169,0.5053,0.1
38,0.4148,0.5093,0.1
39,0.4125,0.5115,0.1
40,0.41,0.5126,0.1
41,0.4079,0.5131,0.1
42,0.4053,0.5156,0.1
43,0.4032,0.5184,0.1
44,0.4012,0.5195,0.1
45,0.3992,0.52,0.1
46,0.3973,0.5213,0.1
47,0.3956,0.5224,0.1
48,0.3939,0.5234,0.1
49,0.3919,0.5255,0.1
50,0.3901,0.5263,0.1
51,0.3884,0.5279,0.1
52,0.3869,0.5295,0.1
53,0.3857,0.5309,0.1
54,0.3842,0.5337,0.1
55,0.3827,0.5349,0.1
56,0.3813,0.5359,0.1
57,0.38,0.5364,0.1
58,0.3789,0.5366,0.1
59,0.3777,0.5378,0.1
60,0.3759,0.5399,0.1
61,0.3745,0.5407,0.1
62,0.3734,0.5413,0.1
63,0.3722,0.542,0.1
64,0.3712,0.5428,0.1
65,0.3703,0.5439,0.1
66,0.3691,0.548,0.1
67,0.3679,0.5496,0.1
68,0.367,0.5499,0.1
69,0.3661,0.5506,0.1
70,0.3649,0.5512,0.1
71,0.3637,0.5524,0.1
72,0.3623,0.5543,0.1
73,0.3611,0.5549,0.1
74,0.3602,0.5557,0.1
75,0.359,0.5572,0.1
76,0.3579,0.558,0.1
77,0.357,0.5583,0.1
78,0.3563,0.559,0.1
79,0.3551,0.5606,0.1
80,0.3541,0.5615,0.1
81,0.3533,0.5618,0.1
82,0.3523,0.5633,0.1
83,0.3513,0.5639,0.1
84,0.3504,0.5646,0.1
85,0.3494,0.566,0.1
86,0.3485,0.5669,0.1
87,0.3474,0.5678,0.1
88,0.3464,0.5689,0.1
89,0.3457,0.5695,0.1
90,0.345,0.571,0.1
91,0.3439,0.5721,0.1
92,0.3434,0.5725,0.1
93,0.3425,0.5736,0.1
94,0.3415,0.5747,0.1
95,0.3405,0.5762,0.1
96,0.3395,0.5778,0.1
97,0.339,0.5785,0.1
98,0.3382,0.5789,0.1
99,0.3373,0.5798,0.1
100,0.3363,0.5803,0.1
101,0.3353,0.5815,0.1
102,0.3346,0.582,0.1
103,0.334,0.5826,0.1
104,0.333,0.5841,0.1
105,0.3325,0.5843,0.1
106,0.3318,0.5853,0.1
107,0.3309,0.5858,0.1
108,0.3305,0.5863,0.1
109,0.3296,0.5876,0.1
110,0.3288,0.5891,0.1
111,0.3283,0.5897,0.1
112,0.3277,0.5901,0.1
113,0.3271,0.5906,0.1
114,0.3265,0.5911,0.1
115,0.3258,0.5915,0.1
116,0.3251,0.5918,0.1
117,0.3247,0.592,0.1
118,0.3239,0.5926,0.1
119,0.3235,0.5933,0.1
120,0.323,0.5939,0.1
121,0.3225,0.5945,0.1
122,0.3217,0.5958,0.1
123,0.3213,0.5967,0.1
124,0.3207,0.5979,0.1
125,0.3198,0.5987,0.1
126,0.3193,0.5993,0.1
127,0.3189,0.5996,0.1
128,0.3182,0.6005,0.1
129,0.3178,0.6012,0.1
130,0.3171,0.6021,0.1
131,0.3164,0.6025,0.1
132,0.3158,0.6028,0.1
133,0.3151,0.6034,0.1
134,0.3146,0.6042,0.1
135,0.3138,0.6049,0.1
136,0.3132,0.6061,0.1
137,0.3129,0.6064,0.1
138,0.3125,0.6067,0.1
139,0.3118,0.6076,0.1
140,0.3114,0.6083,0.1
141,0.3104,0.6097,0.1
142,0.3097,0.6106,0.1
143,0.3089,0.6114,0.1
144,0.3083,0.6123,0.1
145,0.3079,0.6127,0.1
146,0.3073,0.6135,0.1
147,0.3071,0.614,0.1
148,0.3066,0.6145,0.1
149,0.306,0.6152,0.1
150,0.3053,0.6161,0.1
151,0.3049,0.6167,0.1
152,0.3044,0.6173,0.1
