number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_la_alpha,params_la_k,params_lr,params_sched_factor,params_sched_patience,params_weight_decay,state
0,0.6760648694932786,2026-04-06 03:03:00.768284,2026-04-06 03:03:37.005147,0 days 00:00:36.236863,4096,256,0.3102922471479012,10,0.0015751320499779737,0.38493564427131044,3,4.2079886696066345e-06,COMPLETE
1,0.7323954855461892,2026-04-06 03:03:37.005262,2026-04-06 03:04:33.764004,0 days 00:00:56.758742,1024,512,0.5280349921085179,10,0.0011207606211860576,0.5056937753654446,3,5.34293726127978e-05,COMPLETE
2,0.7037952477456518,2026-04-06 03:04:33.764108,2026-04-06 03:05:30.492509,0 days 00:00:56.728401,1024,512,0.6421165132560784,5,0.00021930485556643703,0.49807076404450806,3,1.8205657658407268e-06,COMPLETE
3,0.7143354838718269,2026-04-06 03:05:30.492610,2026-04-06 03:06:23.668703,0 days 00:00:53.176093,1024,256,0.7697494707820945,5,0.0021137059440645726,0.6687496940092467,3,1.7654048052495086e-05,COMPLETE
4,0.6626274037343464,2026-04-06 03:06:23.668812,2026-04-06 03:07:20.636823,0 days 00:00:56.968011,1024,256,0.3704621124873813,10,0.0004473636174621265,0.6947547746402069,3,3.58681649862755e-05,COMPLETE
5,0.6940824750250904,2026-04-06 03:07:20.636925,2026-04-06 03:08:10.626558,0 days 00:00:49.989633,1024,128,0.7315517129377967,5,0.004274869455295219,0.32542334011440943,3,0.0006720930050156114,PRUNED
6,0.7253029775169247,2026-04-06 03:08:10.626659,2026-04-06 03:08:49.158217,0 days 00:00:38.531558,4096,512,0.6854835899772804,5,0.0018841476921545091,0.4710164073434198,5,0.003538758864779244,COMPLETE
7,0.6500916384776587,2026-04-06 03:08:49.158322,2026-04-06 03:09:16.971128,0 days 00:00:27.812806,1024,256,0.4143990827458112,10,0.0018742210985555703,0.3644885149016018,5,1.808939009276714e-05,PRUNED
8,0.6131504536794152,2026-04-06 03:09:16.971219,2026-04-06 03:09:37.657313,0 days 00:00:20.686094,1024,128,0.4590017374859319,10,0.005532496914298506,0.4708431154505025,5,0.0016394127471631608,PRUNED
9,0.6195029836506781,2026-04-06 03:09:37.657404,2026-04-06 03:09:50.828500,0 days 00:00:13.171096,4096,256,0.559395310871683,5,0.0010507384024181399,0.6887128330883843,3,4.6735189995627506e-05,PRUNED
10,0.6020670855922511,2026-04-06 03:09:50.828588,2026-04-06 03:10:22.006629,0 days 00:00:31.178041,512,512,0.5357411262558784,10,0.00010280029617905622,0.5759899226632443,5,0.0006087951913361188,PRUNED
11,0.6490687275660425,2026-04-06 03:10:22.006718,2026-04-06 03:10:41.225321,0 days 00:00:19.218603,4096,512,0.651289350255331,5,0.0005743921379695773,0.4273145000499232,5,0.009310623824001166,PRUNED
12,0.7146887065892968,2026-04-06 03:10:41.225413,2026-04-06 03:12:04.017301,0 days 00:01:22.791888,512,512,0.5638894465150159,10,0.009768548969532899,0.5683884823636799,5,0.00021249488553914259,COMPLETE
