number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_focal_alpha,params_focal_gamma,params_hidden_dim,params_la_alpha,params_la_k,params_lr,params_sched_factor,params_sched_patience,params_weight_decay,state
0,0.6770366625886765,2026-04-09 00:31:46.940598,2026-04-09 00:32:50.401591,0 days 00:01:03.460993,4096,0.17272998688284025,0.5898682098281826,1.564847850358382,256,0.3102922471479012,10,0.0007661100707771367,0.38493564427131044,3,4.2079886696066345e-06,COMPLETE
1,0.628853107091566,2026-04-09 00:32:50.401718,2026-04-09 00:33:51.605226,0 days 00:01:01.203508,4096,0.16820964947491662,0.531875280562787,3.8210993803866664,128,0.5571172192068058,5,0.0008012737503998541,0.5430179407605753,3,3.6138942712165278e-06,COMPLETE
2,0.4929526984183705,2026-04-09 00:33:51.605329,2026-04-09 00:34:52.931055,0 days 00:01:01.325726,4096,0.31868411173731187,0.5905786832075083,3.893546197175955,128,0.42938999080000845,10,0.00013940346079873228,0.5080272084711243,3,0.0005456725485601478,COMPLETE
3,0.684756877835004,2026-04-09 00:34:52.931161,2026-04-09 00:37:22.549281,0 days 00:02:29.618120,1024,0.31707843326329943,0.5690528702376337,3.3076894326391386,256,0.43567451588694794,10,0.0007641361869233315,0.41237380387495226,3,0.004869640941520904,COMPLETE
4,0.7012109607615546,2026-04-09 00:37:22.549393,2026-04-09 00:41:31.305015,0 days 00:04:08.755622,512,0.23235920994105969,0.5311435916401516,1.5884381260048177,256,0.4792328642721363,5,0.00019657448966046135,0.5493192507310232,5,1.0521761868451139e-06,COMPLETE
5,0.7215911642959586,2026-04-09 00:41:31.305136,2026-04-09 00:42:35.767502,0 days 00:01:04.462366,4096,0.14315657079732177,0.5154003009864998,2.7274364394232316,256,0.5468977981821954,10,0.002044187835249379,0.3101676506976381,3,7.742116473996245e-05,COMPLETE
6,0.5461561474387672,2026-04-09 00:42:35.767605,2026-04-09 00:44:19.135433,0 days 00:01:43.367828,512,0.4214688307596458,0.5914193288541576,3.623956494714922,512,0.7648488261712865,5,0.0002334720250903526,0.6485842360750871,3,4.3805807679056575e-05,PRUNED
7,0.5368744208948051,2026-04-09 00:44:19.135544,2026-04-09 00:44:46.269486,0 days 00:00:27.133942,4096,0.2350460685614512,0.9620257549171344,1.6312102620726434,512,0.5553736512887828,5,0.00029493729440953863,0.3479461469334731,3,2.7555462077796614e-06,PRUNED
8,0.687256004329694,2026-04-09 00:44:46.269581,2026-04-09 00:47:24.382312,0 days 00:02:38.112731,1024,0.4633063543866615,0.6173853264268165,1.0071320523192808,256,0.6047821669899485,5,0.0027254609841484683,0.41145858569464455,3,0.007076022085822006,COMPLETE
9,0.7246988277118972,2026-04-09 00:47:24.382412,2026-04-09 00:50:04.616670,0 days 00:02:40.234258,1024,0.1746074041599417,0.5199798193618344,2.5681253011588465,256,0.5678873420373792,10,0.0009836162684900027,0.42831202598869433,5,0.0011129571947046015,COMPLETE
10,0.7180652621348973,2026-04-09 00:50:04.616781,2026-04-09 00:52:39.949280,0 days 00:02:35.332499,1024,0.11538377985053866,0.7580301071432937,2.566661413578054,128,0.7010999340900861,10,0.001487009608046018,0.6482520093115419,5,0.0006087951913361188,COMPLETE
11,0.5643409545248365,2026-04-09 00:52:39.949383,2026-04-09 00:53:58.038899,0 days 00:01:18.089516,1024,0.10294713695129636,0.7467259303292274,2.733273406849354,256,0.644945211674846,10,0.0018987942473509254,0.30206157492997027,5,5.46292309882721e-05,PRUNED
12,0.588448656318092,2026-04-09 00:53:58.039001,2026-04-09 00:54:19.526717,0 days 00:00:21.487716,4096,0.2488445806221034,0.6670962966194083,2.8738303524387803,256,0.4880233406052309,10,0.001383286702338733,0.44450516156533854,5,0.0003240199726509766,PRUNED
13,0.5885079683595548,2026-04-09 00:54:19.526809,2026-04-09 00:55:14.376043,0 days 00:00:54.849234,1024,0.17034480607761995,0.8981077665354644,2.2620011097877217,256,0.6541892071774278,10,0.00046856631860110883,0.31872705097742604,5,0.00015646063279918247,PRUNED
14,0.574940095266491,2026-04-09 00:55:14.376139,2026-04-09 00:56:53.230825,0 days 00:01:38.854686,512,0.3682180570419545,0.6740423322822662,3.1363332480215,512,0.3494653879981767,10,0.002892343381330448,0.47049309921360377,5,0.0014012366471299693,PRUNED
15,0.7312422368640292,2026-04-09 00:56:53.230929,2026-04-09 00:57:52.826899,0 days 00:00:59.595970,4096,0.2034278007429079,0.5024346965409433,2.093471571362439,256,0.5114538627549364,10,0.0013717316149031843,0.3710118000315394,5,1.7604973959085402e-05,COMPLETE
16,0.6080967724385983,2026-04-09 00:57:52.827010,2026-04-09 00:59:06.171773,0 days 00:01:13.344763,1024,0.21992109788556904,0.8284225127389551,2.191530507079573,256,0.3875425202896544,10,0.0010936127318638654,0.37254813425678773,5,1.3433816455452615e-05,PRUNED
17,0.6420482220248181,2026-04-09 00:59:06.171872,2026-04-09 01:00:20.292663,0 days 00:01:14.120791,1024,0.27296069359689545,0.6768352140857427,2.105187012471169,256,0.5051480566183386,10,0.0004577710167271861,0.4629356823725621,5,2.112923143848839e-05,PRUNED
18,0.11214098689063275,2026-04-09 01:00:20.292764,2026-04-09 01:00:39.406515,0 days 00:00:19.113751,4096,0.20398969206743092,0.5056942711975011,0.7899243915232339,512,0.6029423301406538,10,0.0010022169550140028,0.588764421801138,5,0.001872958267694252,PRUNED
19,0.594443025403624,2026-04-09 01:00:39.406610,2026-04-09 01:02:05.163606,0 days 00:01:25.756996,512,0.28172662477462884,0.8228069894568678,1.9414445764379933,128,0.7748144607072988,10,0.00033766151727917035,0.42434799452146116,5,1.325433892090733e-05,PRUNED
20,0.5893113356889603,2026-04-09 01:02:05.163707,2026-04-09 01:02:28.597577,0 days 00:00:23.433870,4096,0.35621205334625194,0.6380826435610847,1.2678199584356014,256,0.7013874750561526,10,0.0005755266447863479,0.35322010485379757,5,0.0001517463223465204,PRUNED
